"Dates"	"Value"	"Modif"
2011-01-01	33.6	"NO"
2011-01-02	34	"NO"
2011-01-03	34	"NO"
2011-01-04	34.4	"NO"
2011-01-05	34	"NO"
2011-01-06	34.4	"NO"
2011-01-07	34	"NO"
2011-01-08	34.4	"NO"
2011-01-09	33.8	"NO"
2011-01-10	34.4	"NO"
2011-01-11	34	"NO"
2011-01-12	34.4	"NO"
2011-01-13	34.4	"NO"
2011-01-14	34	"NO"
2011-01-15	34.4	"NO"
2011-01-16	34.8	"NO"
2011-01-17	34.6	"NO"
2011-01-18	34	"NO"
2011-01-19	34	"NO"
2011-01-20	34.8	"NO"
2011-01-21	34.2	"NO"
2011-01-22	34	"NO"
2011-01-23	34	"NO"
2011-01-24	34.2	"NO"
2011-01-25	34	"NO"
2011-01-26	34.2	"NO"
2011-01-27	34.4	"NO"
2011-01-28	34.4	"NO"
2011-01-29	34	"NO"
2011-01-30	34.4	"NO"
2011-01-31	34.4	"NO"
2011-02-01	34.4	"NO"
2011-02-02	34.8	"NO"
2011-02-03	34	"NO"
2011-02-04	34.4	"NO"
2011-02-05	34.8	"NO"
2011-02-06	34	"NO"
2011-02-07	34.8	"NO"
2011-02-08	34.6	"NO"
2011-02-09	34.4	"NO"
2011-02-10	34.6	"NO"
2011-02-11	34.8	"NO"
2011-02-12	35.2	"NO"
2011-02-13	35	"NO"
2011-02-14	35	"NO"
2011-02-15	34.4	"NO"
2011-02-16	35	"NO"
2011-02-17	34.4	"NO"
2011-02-18	34.6	"NO"
2011-02-19	35	"NO"
2011-02-20	34.8	"NO"
2011-02-21	34.6	"NO"
2011-02-22	35	"NO"
2011-02-23	35	"NO"
2011-02-24	35	"NO"
2011-02-25	34.6	"NO"
2011-02-26	35.4	"NO"
2011-02-27	35.4	"NO"
2011-02-28	34.8	"NO"
2011-03-01	32.4	"NO"
2011-03-02	33	"NO"
2011-03-03	33.4	"NO"
2011-03-04	33.8	"NO"
2011-03-05	34.4	"NO"
2011-03-06	34.6	"NO"
2011-03-07	34.2	"NO"
2011-03-08	34.4	"NO"
2011-03-09	34.8	"NO"
2011-03-10	33.6	"NO"
2011-03-11	34	"NO"
2011-03-12	34.4	"NO"
2011-03-13	34.4	"NO"
2011-03-14	34	"NO"
2011-03-15	34.2	"NO"
2011-03-16	34.4	"NO"
2011-03-17	34	"NO"
2011-03-18	34.8	"NO"
2011-03-19	34.4	"NO"
2011-03-20	34	"NO"
2011-03-21	33.6	"NO"
2011-03-22	32.8	"NO"
2011-03-23	32.8	"NO"
2011-03-24	33	"NO"
2011-03-25	33	"NO"
2011-03-26	34.4	"NO"
2011-03-27	34.6	"NO"
2011-03-28	34.4	"NO"
2011-03-29	34	"NO"
2011-03-30	34.4	"NO"
2011-03-31	34.6	"NO"
2011-04-01	34.4	"NO"
2011-04-02	34	"NO"
2011-04-03	34.6	"NO"
2011-04-04	33.6	"NO"
2011-04-05	32.6	"NO"
2011-04-06	34	"NO"
2011-04-07	34.4	"NO"
2011-04-08	33.4	"NO"
2011-04-09	34	"NO"
2011-04-10	33	"NO"
2011-04-11	33.4	"NO"
2011-04-12	35	"NO"
2011-04-13	32.8	"NO"
2011-04-14	33.6	"NO"
2011-04-15	34	"NO"
2011-04-16	32.4	"NO"
2011-04-17	32.4	"NO"
2011-04-18	32.6	"NO"
2011-04-19	33	"NO"
2011-04-20	33.4	"NO"
2011-04-21	32.8	"NO"
2011-04-22	33.6	"NO"
2011-04-23	33.6	"NO"
2011-04-24	33	"NO"
2011-04-25	33.8	"NO"
2011-04-26	33.6	"NO"
2011-04-27	33	"NO"
2011-04-28	34	"NO"
2011-04-29	34.2	"NO"
2011-04-30	34.4	"NO"
2011-05-01	33.8	"NO"
2011-05-02	34	"NO"
2011-05-03	34	"NO"
2011-05-04	33.8	"NO"
2011-05-05	32.6	"NO"
2011-05-06	33	"NO"
2011-05-07	32.6	"NO"
2011-05-08	32.6	"NO"
2011-05-09	33.4	"NO"
2011-05-10	33.2	"NO"
2011-05-11	32.8	"NO"
2011-05-12	33	"NO"
2011-05-13	32.6	"NO"
2011-05-14	30.6	"NO"
2011-05-15	32.4	"NO"
2011-05-16	32	"NO"
2011-05-17	32	"NO"
2011-05-18	30.6	"NO"
2011-05-19	32	"NO"
2011-05-20	32.6	"NO"
2011-05-21	33.4	"NO"
2011-05-22	30.8	"NO"
2011-05-23	32.4	"NO"
2011-05-24	33.8	"NO"
2011-05-25	34	"NO"
2011-05-26	33.6	"NO"
2011-05-27	33	"NO"
2011-05-28	30.8	"NO"
2011-05-29	30.8	"NO"
2011-05-30	32.6	"NO"
2011-05-31	30.8	"NO"
2011-06-01	30.6	"NO"
2011-06-02	30	"NO"
2011-06-03	29.8	"NO"
2011-06-04	30.4	"NO"
2011-06-05	31.2	"NO"
2011-06-06	32	"NO"
2011-06-07	30.8	"NO"
2011-06-08	32	"NO"
2011-06-09	33	"NO"
2011-06-10	33.6	"NO"
2011-06-11	30.8	"NO"
2011-06-12	32.6	"NO"
2011-06-13	34.6	"NO"
2011-06-14	34.8	"NO"
2011-06-15	33	"NO"
2011-06-16	32	"NO"
2011-06-17	30.8	"NO"
2011-06-18	33.8	"NO"
2011-06-19	30.8	"NO"
2011-06-20	32.6	"NO"
2011-06-21	30.6	"NO"
2011-06-22	34	"NO"
2011-06-23	33	"NO"
2011-06-24	34	"NO"
2011-06-25	31.8	"NO"
2011-06-26	30.6	"NO"
2011-06-27	30.8	"NO"
2011-06-28	33.6	"NO"
2011-06-29	34.6	"NO"
2011-06-30	32.8	"NO"
2011-07-01	30	"NO"
2011-07-02	32.6	"NO"
2011-07-03	33.4	"NO"
2011-07-04	32.6	"NO"
2011-07-05	33.6	"NO"
2011-07-06	30.6	"NO"
2011-07-07	31.6	"NO"
2011-07-08	33.6	"NO"
2011-07-09	33.8	"NO"
2011-07-10	32.6	"NO"
2011-07-11	32.8	"NO"
2011-07-12	33.6	"NO"
2011-07-13	33.8	"NO"
2011-07-14	30.6	"NO"
2011-07-15	33.4	"NO"
2011-07-16	34	"NO"
2011-07-17	33.8	"NO"
2011-07-18	34	"NO"
2011-07-19	34.4	"NO"
2011-07-20	34.4	"NO"
2011-07-21	34	"NO"
2011-07-22	34.2	"NO"
2011-07-23	33.6	"NO"
2011-07-24	33.6	"NO"
2011-07-25	34.4	"NO"
2011-07-26	34.4	"NO"
2011-07-27	32.6	"NO"
2011-07-28	32.6	"NO"
2011-07-29	32.6	"NO"
2011-07-30	33.6	"NO"
2011-07-31	34.8	"NO"
2011-08-01	33	"NO"
2011-08-02	33.6	"NO"
2011-08-03	30.6	"NO"
2011-08-04	32	"NO"
2011-08-05	32.6	"NO"
2011-08-06	34.6	"NO"
2011-08-07	34.2	"NO"
2011-08-08	34.6	"NO"
2011-08-09	32.6	"NO"
2011-08-10	34	"NO"
2011-08-11	33.2	"NO"
2011-08-12	33.8	"NO"
2011-08-13	30.6	"NO"
2011-08-14	31.6	"NO"
2011-08-15	31.8	"NO"
2011-08-16	29.6	"NO"
2011-08-17	32.2	"NO"
2011-08-18	34	"NO"
2011-08-19	31.2	"NO"
2011-08-20	32	"NO"
2011-08-21	32.8	"NO"
2011-08-22	33.6	"NO"
2011-08-23	33.6	"NO"
2011-08-24	30.6	"NO"
2011-08-25	31.6	"NO"
2011-08-26	32.8	"NO"
2011-08-27	32	"NO"
2011-08-28	30	"NO"
2011-08-29	33.8	"NO"
2011-08-30	31.2	"NO"
2011-08-31	33.8	"NO"
2011-09-01	32	"NO"
2011-09-02	31.8	"NO"
2011-09-03	32.6	"NO"
2011-09-04	32.2	"NO"
2011-09-05	32.8	"NO"
2011-09-06	33.6	"NO"
2011-09-07	32.8	"NO"
2011-09-08	32.6	"NO"
2011-09-09	33.2	"NO"
2011-09-10	34.2	"NO"
2011-09-11	34	"NO"
2011-09-12	32.2	"NO"
2011-09-13	31.6	"NO"
2011-09-14	34	"NO"
2011-09-15	30.8	"NO"
2011-09-16	32.6	"NO"
2011-09-17	34	"NO"
2011-09-18	31	"NO"
2011-09-19	33.8	"NO"
2011-09-20	30	"NO"
2011-09-21	31.6	"NO"
2011-09-22	33.8	"NO"
2011-09-23	31.6	"NO"
2011-09-24	33.6	"NO"
2011-09-25	31	"NO"
2011-09-26	31.6	"NO"
2011-09-27	32.8	"NO"
2011-09-28	32.6	"NO"
2011-09-29	31	"NO"
2011-09-30	32	"NO"
2011-10-01	31	"NO"
2011-10-02	32.6	"NO"
2011-10-03	31	"NO"
2011-10-04	32	"NO"
2011-10-05	32	"NO"
2011-10-06	32.6	"NO"
2011-10-07	33	"NO"
2011-10-08	34	"NO"
2011-10-09	34.6	"NO"
2011-10-10	32.8	"NO"
2011-10-11	33	"NO"
2011-10-12	30.8	"NO"
2011-10-13	31.2	"NO"
2011-10-14	33.2	"NO"
2011-10-15	31.2	"NO"
2011-10-16	31	"NO"
2011-10-17	30.8	"NO"
2011-10-18	31.6	"NO"
2011-10-19	32.6	"NO"
2011-10-20	33.6	"NO"
2011-10-21	34	"NO"
2011-10-22	33.2	"NO"
2011-10-23	34	"NO"
2011-10-24	33	"NO"
2011-10-25	33	"NO"
2011-10-26	32.6	"NO"
2011-10-27	33.8	"NO"
2011-10-28	33	"NO"
2011-10-29	31.2	"NO"
2011-10-30	31.4	"NO"
2011-10-31	30.8	"NO"
2011-11-01	31.6	"NO"
2011-11-02	33	"NO"
2011-11-03	33.6	"NO"
2011-11-04	34.4	"NO"
2011-11-05	33	"NO"
2011-11-06	34.2	"NO"
2011-11-07	34	"NO"
2011-11-08	34.6	"NO"
2011-11-09	34.2	"NO"
2011-11-10	32.6	"NO"
2011-11-11	30.8	"NO"
2011-11-12	32	"NO"
2011-11-13	32.6	"NO"
2011-11-14	31.2	"NO"
2011-11-15	33.2	"NO"
2011-11-16	31.2	"NO"
2011-11-17	33	"NO"
2011-11-18	31	"NO"
2011-11-19	30.6	"NO"
2011-11-20	31	"NO"
2011-11-21	31.4	"NO"
2011-11-22	31.8	"NO"
2011-11-23	32.2	"NO"
2011-11-24	32.8	"NO"
2011-11-25	33.2	"NO"
2011-11-26	30.8	"NO"
2011-11-27	31.8	"NO"
2011-11-28	31.2	"NO"
2011-11-29	32.2	"NO"
2011-11-30	32	"NO"
2011-12-01	32.8	"NO"
2011-12-02	31	"NO"
2011-12-03	32.2	"NO"
2011-12-04	32.4	"NO"
2011-12-05	33.2	"NO"
2011-12-06	31	"NO"
2011-12-07	31.8	"NO"
2011-12-08	32.4	"NO"
2011-12-09	31.2	"NO"
2011-12-10	32.2	"NO"
2011-12-11	33	"NO"
2011-12-12	32.2	"NO"
2011-12-13	31.8	"NO"
2011-12-14	33	"NO"
2011-12-15	32.8	"NO"
2011-12-16	32.4	"NO"
2011-12-17	32.8	"NO"
2011-12-18	32.2	"NO"
2011-12-19	33.6	"NO"
2011-12-20	33	"NO"
2011-12-21	32	"NO"
2011-12-22	33.8	"NO"
2011-12-23	33.4	"NO"
2011-12-24	34.2	"NO"
2011-12-25	33.2	"NO"
2011-12-26	31.8	"NO"
2011-12-27	32.8	"NO"
2011-12-28	33.2	"NO"
2011-12-29	33	"NO"
2011-12-30	31.8	"NO"
2011-12-31	34	"NO"
2012-01-01	33.2	"NO"
2012-01-02	34	"NO"
2012-01-03	31.8	"NO"
2012-01-04	33	"NO"
2012-01-05	34	"NO"
2012-01-06	34.6	"NO"
2012-01-07	34.2	"NO"
2012-01-08	34.6	"NO"
2012-01-09	34.4	"NO"
2012-01-10	34.8	"NO"
2012-01-11	34.2	"NO"
2012-01-12	33.8	"NO"
2012-01-13	33.6	"NO"
2012-01-14	34.8	"NO"
2012-01-15	34	"NO"
2012-01-16	34	"NO"
2012-01-17	35	"NO"
2012-01-18	35.2	"NO"
2012-01-19	34.6	"NO"
2012-01-20	34.4	"NO"
2012-01-21	35	"NO"
2012-01-22	34.6	"NO"
2012-01-23	35	"NO"
2012-01-24	34.2	"NO"
2012-01-25	34.8	"NO"
2012-01-26	35	"NO"
2012-01-27	34.2	"NO"
2012-01-28	35.2	"NO"
2012-01-29	35	"NO"
2012-01-30	34.2	"NO"
2012-01-31	35.6	"NO"
2012-02-01	34.8	"NO"
2012-02-02	34.2	"NO"
2012-02-03	33.6	"NO"
2012-02-04	35.2	"NO"
2012-02-05	34.8	"NO"
2012-02-06	35	"NO"
2012-02-07	33.8	"NO"
2012-02-08	34.4	"NO"
2012-02-09	35	"NO"
2012-02-10	34.4	"NO"
2012-02-11	35.2	"NO"
2012-02-12	34.2	"NO"
2012-02-13	35	"NO"
2012-02-14	34.6	"NO"
2012-02-15	33.4	"NO"
2012-02-16	33.8	"NO"
2012-02-17	33.2	"NO"
2012-02-18	34.2	"NO"
2012-02-19	34	"NO"
2012-02-20	35	"NO"
2012-02-21	34.2	"NO"
2012-02-22	34.8	"NO"
2012-02-23	33.8	"NO"
2012-02-24	34.2	"NO"
2012-02-25	34	"NO"
2012-02-26	33.2	"NO"
2012-02-27	35	"NO"
2012-02-28	34.2	"NO"
2012-02-29	35.2	"NO"
