"Dates"	"Value"	"Modif"
2011-01-01	30.6	"NO"
2011-01-02	31.8	"NO"
2011-01-03	30.8	"NO"
2011-01-04	33.2	"NO"
2011-01-05	31.2	"NO"
2011-01-06	33.4	"NO"
2011-01-07	32	"NO"
2011-01-08	31.2	"NO"
2011-01-09	32.2	"NO"
2011-01-10	33	"NO"
2011-01-11	32	"NO"
2011-01-12	33.8	"NO"
2011-01-13	32.2	"NO"
2011-01-14	33	"NO"
2011-01-15	34.4	"NO"
2011-01-16	32.8	"NO"
2011-01-17	34.6	"NO"
2011-01-18	32.8	"NO"
2011-01-19	33.6	"NO"
2011-01-20	32	"NO"
2011-01-21	33.2	"NO"
2011-01-22	34	"NO"
2011-01-23	35	"NO"
2011-01-24	34.4	"NO"
2011-01-25	34.8	"NO"
2011-01-26	34	"NO"
2011-01-27	32.4	"NO"
2011-01-28	33.2	"NO"
2011-01-29	34	"NO"
2011-01-30	35	"NO"
2011-01-31	32.8	"NO"
2011-02-01	34.6	"NO"
2011-02-02	33	"NO"
2011-02-03	34.2	"NO"
2011-02-04	34.8	"NO"
2011-02-05	35.2	"NO"
2011-02-06	35	"NO"
2011-02-07	34.2	"NO"
2011-02-08	33.8	"NO"
2011-02-09	35	"NO"
2011-02-10	36.2	"NO"
2011-02-11	33	"NO"
2011-02-12	34.2	"NO"
2011-02-13	33.2	"NO"
2011-02-14	31.4	"NO"
2011-02-15	32	"NO"
2011-02-16	31.8	"NO"
2011-02-17	32	"NO"
2011-02-18	31.8	"NO"
2011-02-19	31	"NO"
2011-02-20	30.8	"NO"
2011-02-21	34.2	"NO"
2011-02-22	32.4	"NO"
2011-02-23	33	"NO"
2011-02-24	32.2	"NO"
2011-02-25	33.2	"NO"
2011-02-26	32	"NO"
2011-02-27	33	"NO"
2011-02-28	31.2	"NO"
2011-03-01	30.8	"NO"
2011-03-02	29.8	"NO"
2011-03-03	32.4	"NO"
2011-03-04	33.2	"NO"
2011-03-05	32.8	"NO"
2011-03-06	33.6	"NO"
2011-03-07	32.8	"NO"
2011-03-08	34.4	"NO"
2011-03-09	33.8	"NO"
2011-03-10	32.2	"NO"
2011-03-11	34.8	"NO"
2011-03-12	32.4	"NO"
2011-03-13	32	"NO"
2011-03-14	33.2	"NO"
2011-03-15	31.8	"NO"
2011-03-16	31	"NO"
2011-03-17	34	"NO"
2011-03-18	32.4	"NO"
2011-03-19	34.2	"NO"
2011-03-20	30.4	"NO"
2011-03-21	31.2	"NO"
2011-03-22	33	"NO"
2011-03-23	32.4	"NO"
2011-03-24	33	"NO"
2011-03-25	34.8	"NO"
2011-03-26	33.4	"NO"
2011-03-27	34.4	"NO"
2011-03-28	33.6	"NO"
2011-03-29	34.8	"NO"
2011-03-30	32	"NO"
2011-03-31	31.8	"NO"
2011-04-01	31.6	"NO"
2011-04-02	33.4	"NO"
2011-04-03	30.8	"NO"
2011-04-04	32	"NO"
2011-04-05	31.6	"NO"
2011-04-06	33	"NO"
2011-04-07	32.4	"NO"
2011-04-08	33.4	"NO"
2011-04-09	32.8	"NO"
2011-04-10	32	"NO"
2011-04-11	31.2	"NO"
2011-04-12	30	"NO"
2011-04-13	33.6	"NO"
2011-04-14	34.4	"NO"
2011-04-15	33.8	"NO"
2011-04-16	34.8	"NO"
2011-04-17	33.8	"NO"
2011-04-18	31.6	"NO"
2011-04-19	30.4	"NO"
2011-04-20	33.6	"NO"
2011-04-21	32.4	"NO"
2011-04-22	34	"NO"
2011-04-23	32.8	"NO"
2011-04-24	31.8	"NO"
2011-04-25	31.4	"NO"
2011-04-26	32.2	"NO"
2011-04-27	33	"NO"
2011-04-28	34.2	"NO"
2011-04-29	34.6	"NO"
2011-04-30	35	"NO"
2011-05-01	35.6	"NO"
2011-05-02	36	"NO"
2011-05-03	33	"NO"
2011-05-04	31.8	"NO"
2011-05-05	33.2	"NO"
2011-05-06	31	"NO"
2011-05-07	33.6	"NO"
2011-05-08	32	"NO"
2011-05-09	30.8	"NO"
2011-05-10	31.6	"NO"
2011-05-11	32.8	"NO"
2011-05-12	30.6	"NO"
2011-05-13	31.6	"NO"
2011-05-14	33	"NO"
2011-05-15	32.8	"NO"
2011-05-16	31.8	"NO"
2011-05-17	30.8	"NO"
2011-05-18	32	"NO"
2011-05-19	33.2	"NO"
2011-05-20	31.8	"NO"
2011-05-21	32.4	"NO"
2011-05-22	33.4	"NO"
2011-05-23	34	"NO"
2011-05-24	33.2	"NO"
2011-05-25	32.4	"NO"
2011-05-26	35	"NO"
2011-05-27	34.2	"NO"
2011-05-28	31.4	"NO"
2011-05-29	32.6	"NO"
2011-05-30	34.4	"NO"
2011-05-31	35	"NO"
2011-06-01	35.6	"NO"
2011-06-02	34	"NO"
2011-06-03	33.4	"NO"
2011-06-04	32.6	"NO"
2011-06-05	33.8	"NO"
2011-06-06	34.4	"NO"
2011-06-07	33.6	"NO"
2011-06-08	34.6	"NO"
2011-06-09	34.4	"NO"
2011-06-10	32.8	"NO"
2011-06-11	33.6	"NO"
2011-06-12	34	"NO"
2011-06-13	35.2	"NO"
2011-06-14	34.6	"NO"
2011-06-15	33.2	"NO"
2011-06-16	34	"NO"
2011-06-17	33	"NO"
2011-06-18	34.2	"NO"
2011-06-19	35	"NO"
2011-06-20	34	"NO"
2011-06-21	33.2	"NO"
2011-06-22	32.6	"NO"
2011-06-23	34.4	"NO"
2011-06-24	33	"NO"
2011-06-25	32	"NO"
2011-06-26	33	"NO"
2011-06-27	34.2	"NO"
2011-06-28	35.2	"NO"
2011-06-29	33.4	"NO"
2011-06-30	32.2	"NO"
2011-07-01	31.6	"NO"
2011-07-02	33.2	"NO"
2011-07-03	34	"NO"
2011-07-04	32.2	"NO"
2011-07-05	33	"NO"
2011-07-06	33.8	"NO"
2011-07-07	34.2	"NO"
2011-07-08	35	"NO"
2011-07-09	34.6	"NO"
2011-07-10	33.4	"NO"
2011-07-11	34	"NO"
2011-07-12	35.2	"NO"
2011-07-13	32.4	"NO"
2011-07-14	33.6	"NO"
2011-07-15	35.4	"NO"
2011-07-16	34.4	"NO"
2011-07-17	33.4	"NO"
2011-07-18	34.2	"NO"
2011-07-19	34.8	"NO"
2011-07-20	35.2	"NO"
2011-07-21	35.8	"NO"
2011-07-22	34.8	"NO"
2011-07-23	35.8	"NO"
2011-07-24	33	"NO"
2011-07-25	35	"NO"
2011-07-26	33	"NO"
2011-07-27	32.6	"NO"
2011-07-28	33.4	"NO"
2011-07-29	34	"NO"
2011-07-30	32	"NO"
2011-07-31	33.2	"NO"
2011-08-01	34.8	"NO"
2011-08-02	33.2	"NO"
2011-08-03	34	"NO"
2011-08-04	35.2	"NO"
2011-08-05	33	"NO"
2011-08-06	34.8	"NO"
2011-08-07	33.4	"NO"
2011-08-08	35	"NO"
2011-08-09	34.6	"NO"
2011-08-10	35.2	"NO"
2011-08-11	34.4	"NO"
2011-08-12	33	"NO"
2011-08-13	35.2	"NO"
2011-08-14	34	"NO"
2011-08-15	33.2	"NO"
2011-08-16	32.4	"NO"
2011-08-17	35	"NO"
2011-08-18	35.8	"NO"
2011-08-19	34.4	"NO"
2011-08-20	33.2	"NO"
2011-08-21	32.8	"NO"
2011-08-22	33.4	"NO"
2011-08-23	34.6	"NO"
2011-08-24	32.8	"NO"
2011-08-25	33.4	"NO"
2011-08-26	34.2	"NO"
2011-08-27	35	"NO"
2011-08-28	34.8	"NO"
2011-08-29	35.2	"NO"
2011-08-30	34.4	"NO"
2011-08-31	35.4	"NO"
2011-09-01	33.2	"NO"
2011-09-02	33	"NO"
2011-09-03	29.8	"NO"
2011-09-04	32.2	"NO"
2011-09-05	34.4	"NO"
2011-09-06	35	"NO"
2011-09-07	32.2	"NO"
2011-09-08	30.2	"NO"
2011-09-09	29.6	"NO"
2011-09-10	32.4	"NO"
2011-09-11	31.8	"NO"
2011-09-12	32.6	"NO"
2011-09-13	33.6	"NO"
2011-09-14	32.2	"NO"
2011-09-15	29.6	"NO"
2011-09-16	33.4	"NO"
2011-09-17	32.6	"NO"
2011-09-18	34.2	"NO"
2011-09-19	33.4	"NO"
2011-09-20	32.2	"NO"
2011-09-21	33	"NO"
2011-09-22	34.6	"NO"
2011-09-23	35.2	"NO"
2011-09-24	34.8	"NO"
2011-09-25	33.2	"NO"
2011-09-26	32	"NO"
2011-09-27	35.2	"NO"
2011-09-28	34.4	"NO"
2011-09-29	32.6	"NO"
2011-09-30	35	"NO"
2011-10-01	34.4	"NO"
2011-10-02	33.6	"NO"
2011-10-03	32.2	"NO"
2011-10-04	33.4	"NO"
2011-10-05	34.6	"NO"
2011-10-06	33.8	"NO"
2011-10-07	35.2	"NO"
2011-10-08	34.8	"NO"
2011-10-09	35.6	"NO"
2011-10-10	36.4	"NO"
2011-10-11	34.8	"NO"
2011-10-12	33.4	"NO"
2011-10-13	32.6	"NO"
2011-10-14	36.2	"NO"
2011-10-15	33.8	"NO"
2011-10-16	34.4	"NO"
2011-10-17	33.6	"NO"
2011-10-18	34.8	"NO"
2011-10-19	35.2	"NO"
2011-10-20	34.8	"NO"
2011-10-21	33.6	"NO"
2011-10-22	35.2	"NO"
2011-10-23	33.2	"NO"
2011-10-24	34.4	"NO"
2011-10-25	35.4	"NO"
2011-10-26	36	"NO"
2011-10-27	33.2	"NO"
2011-10-28	34.4	"NO"
2011-10-29	32	"NO"
2011-10-30	33.6	"NO"
2011-10-31	31	"NO"
2011-11-01	34.6	"NO"
2011-11-02	35	"NO"
2011-11-03	34.4	"NO"
2011-11-04	35.4	"NO"
2011-11-05	34.8	"NO"
2011-11-06	33.2	"NO"
2011-11-07	34.2	"NO"
2011-11-08	33.2	"NO"
2011-11-09	34.8	"NO"
2011-11-10	33	"NO"
2011-11-11	34.6	"NO"
2011-11-12	35	"NO"
2011-11-13	32.4	"NO"
2011-11-14	33.2	"NO"
2011-11-15	34.4	"NO"
2011-11-16	33	"NO"
2011-11-17	32.4	"NO"
2011-11-18	33.4	"NO"
2011-11-19	34.8	"NO"
2011-11-20	32.6	"NO"
2011-11-21	35	"NO"
2011-11-22	33.6	"NO"
2011-11-23	34.8	"NO"
2011-11-24	33.4	"NO"
2011-11-25	34.8	"NO"
2011-11-26	33	"NO"
2011-11-27	32.4	"NO"
2011-11-28	31.4	"NO"
2011-11-29	31	"NO"
2011-11-30	30	"NO"
2011-12-01	32	"NO"
2011-12-02	31.4	"NO"
2011-12-03	32.2	"NO"
2011-12-04	33	"NO"
2011-12-05	34	"NO"
2011-12-06	34.8	"NO"
2011-12-07	33.2	"NO"
2011-12-08	32.6	"NO"
2011-12-09	35	"NO"
2011-12-10	32.8	"NO"
2011-12-11	35.2	"NO"
2011-12-12	34	"NO"
2011-12-13	34.6	"NO"
2011-12-14	33.6	"NO"
2011-12-15	34	"NO"
2011-12-16	35	"NO"
2011-12-17	33.4	"NO"
2011-12-18	34.8	"NO"
2011-12-19	32.2	"NO"
2011-12-20	33.8	"NO"
2011-12-21	35.6	"NO"
2011-12-22	34.2	"NO"
2011-12-23	33.6	"NO"
2011-12-24	32	"NO"
2011-12-25	33.2	"NO"
2011-12-26	33.6	"NO"
2011-12-27	32.6	"NO"
2011-12-28	33.4	"NO"
2011-12-29	34.4	"NO"
2011-12-30	34.2	"NO"
2011-12-31	33.4	"NO"
2012-01-01	34.2	"NO"
2012-01-02	34.6	"NO"
2012-01-03	33.6	"NO"
2012-01-04	34.6	"NO"
2012-01-05	35	"NO"
2012-01-06	34.2	"NO"
2012-01-07	33.6	"NO"
2012-01-08	35.2	"NO"
2012-01-09	34.8	"NO"
2012-01-10	35.2	"NO"
2012-01-11	34.8	"NO"
2012-01-12	32.6	"NO"
2012-01-13	33.8	"NO"
2012-01-14	34	"NO"
2012-01-15	34.6165645420344	"SI"
2012-01-16	33.2	"NO"
2012-01-17	33.2	"NO"
2012-01-18	35.4	"NO"
2012-01-19	34.4	"NO"
2012-01-20	35.6	"NO"
2012-01-21	34.2	"NO"
2012-01-22	33	"NO"
2012-01-23	34.6	"NO"
2012-01-24	35.2	"NO"
2012-01-25	33	"NO"
2012-01-26	34.6	"NO"
2012-01-27	33.4	"NO"
2012-01-28	34.8	"NO"
2012-01-29	33	"NO"
2012-01-30	35	"NO"
2012-01-31	32.4	"NO"
2012-02-01	33.4	"NO"
2012-02-02	35	"NO"
2012-02-03	34.6	"NO"
2012-02-04	33.6	"NO"
2012-02-05	35.6	"NO"
2012-02-06	34.4	"NO"
2012-02-07	32.4	"NO"
