"Dates"	"Value"	"Modif"
2011-01-01	84	"NO"
2011-01-02	77	"NO"
2011-01-03	86	"NO"
2011-01-04	79	"NO"
2011-01-05	82	"NO"
2011-01-06	81	"NO"
2011-01-07	82	"NO"
2011-01-08	88.7311429010732	"SI"
2011-01-09	79	"NO"
2011-01-10	84	"NO"
2011-01-11	81	"NO"
2011-01-12	74	"NO"
2011-01-13	79	"NO"
2011-01-14	80	"NO"
2011-01-15	78	"NO"
2011-01-16	81	"NO"
2011-01-17	83	"NO"
2011-01-18	80.3155007158475	"SI"
2011-01-19	84	"NO"
2011-01-20	77	"NO"
2011-01-21	78	"NO"
2011-01-22	79	"NO"
2011-01-23	80	"NO"
2011-01-24	75	"NO"
2011-01-25	74	"NO"
2011-01-26	78	"NO"
2011-01-27	76	"NO"
2011-01-28	73	"NO"
2011-01-29	79	"NO"
2011-01-30	77	"NO"
2011-01-31	79	"NO"
2011-02-01	76	"NO"
2011-02-02	76	"NO"
2011-02-03	74	"NO"
2011-02-04	74	"NO"
2011-02-05	73	"NO"
2011-02-06	73	"NO"
2011-02-07	74	"NO"
2011-02-08	71	"NO"
2011-02-09	73	"NO"
2011-02-10	73	"NO"
2011-02-11	74	"NO"
2011-02-12	73	"NO"
2011-02-13	76	"NO"
2011-02-14	74	"NO"
2011-02-15	76	"NO"
2011-02-16	81	"NO"
2011-02-17	78	"NO"
2011-02-18	76	"NO"
2011-02-19	75	"NO"
2011-02-20	75	"NO"
2011-02-21	73	"NO"
2011-02-22	70	"NO"
2011-02-23	74	"NO"
2011-02-24	73	"NO"
2011-02-25	75	"NO"
2011-02-26	73	"NO"
2011-02-27	74	"NO"
2011-02-28	75	"NO"
2011-03-01	79	"NO"
2011-03-02	84	"NO"
2011-03-03	83	"NO"
2011-03-04	78	"NO"
2011-03-05	77	"NO"
2011-03-06	77	"NO"
2011-03-07	78	"NO"
2011-03-08	80	"NO"
2011-03-09	75	"NO"
2011-03-10	79	"NO"
2011-03-11	79	"NO"
2011-03-12	74	"NO"
2011-03-13	73	"NO"
2011-03-14	77	"NO"
2011-03-15	78	"NO"
2011-03-16	79	"NO"
2011-03-17	77	"NO"
2011-03-18	80	"NO"
2011-03-19	85	"NO"
2011-03-20	83	"NO"
2011-03-21	88	"NO"
2011-03-22	85	"NO"
2011-03-23	79	"NO"
2011-03-24	76	"NO"
2011-03-25	84	"NO"
2011-03-26	84	"NO"
2011-03-27	80	"NO"
2011-03-28	83	"NO"
2011-03-29	84	"NO"
2011-03-30	80	"NO"
2011-03-31	85	"NO"
2011-04-01	81	"NO"
2011-04-02	84	"NO"
2011-04-03	77	"NO"
2011-04-04	77	"NO"
2011-04-05	83	"NO"
2011-04-06	79	"NO"
2011-04-07	87	"NO"
2011-04-08	87	"NO"
2011-04-09	87	"NO"
2011-04-10	85	"NO"
2011-04-11	86	"NO"
2011-04-12	88	"NO"
2011-04-13	81	"NO"
2011-04-14	78	"NO"
2011-04-15	82	"NO"
2011-04-16	90	"NO"
2011-04-17	82	"NO"
2011-04-18	81	"NO"
2011-04-19	80	"NO"
2011-04-20	82	"NO"
2011-04-21	79	"NO"
2011-04-22	79	"NO"
2011-04-23	80	"NO"
2011-04-24	84	"NO"
2011-04-25	80	"NO"
2011-04-26	82	"NO"
2011-04-27	84	"NO"
2011-04-28	86	"NO"
2011-04-29	81	"NO"
2011-04-30	80	"NO"
2011-05-01	81	"NO"
2011-05-02	80	"NO"
2011-05-03	86	"NO"
2011-05-04	83	"NO"
2011-05-05	82	"NO"
2011-05-06	79	"NO"
2011-05-07	83	"NO"
2011-05-08	88	"NO"
2011-05-09	86	"NO"
2011-05-10	85	"NO"
2011-05-11	86	"NO"
2011-05-12	89	"NO"
2011-05-13	91	"NO"
2011-05-14	90	"NO"
2011-05-15	92	"NO"
2011-05-16	96	"NO"
2011-05-17	84	"NO"
2011-05-18	82	"NO"
2011-05-19	77	"NO"
2011-05-20	75	"NO"
2011-05-21	73	"NO"
2011-05-22	87	"NO"
2011-05-23	77	"NO"
2011-05-24	86	"NO"
2011-05-25	83	"NO"
2011-05-26	80	"NO"
2011-05-27	82	"NO"
2011-05-28	89	"NO"
2011-05-29	86	"NO"
2011-05-30	85	"NO"
2011-05-31	89	"NO"
2011-06-01	91	"NO"
2011-06-02	87	"NO"
2011-06-03	85	"NO"
2011-06-04	84	"NO"
2011-06-05	85	"NO"
2011-06-06	81	"NO"
2011-06-07	85	"NO"
2011-06-08	86	"NO"
2011-06-09	84	"NO"
2011-06-10	85	"NO"
2011-06-11	85	"NO"
2011-06-12	78.6116283193949	"SI"
2011-06-13	79	"NO"
2011-06-14	84	"NO"
2011-06-15	84	"NO"
2011-06-16	85	"NO"
2011-06-17	83	"NO"
2011-06-18	85	"NO"
2011-06-19	86	"NO"
2011-06-20	92	"NO"
2011-06-21	80	"NO"
2011-06-22	89	"NO"
2011-06-23	88	"NO"
2011-06-24	89	"NO"
2011-06-25	86	"NO"
2011-06-26	81	"NO"
2011-06-27	82	"NO"
2011-06-28	77	"NO"
2011-06-29	81	"NO"
2011-06-30	86	"NO"
2011-07-01	86	"NO"
2011-07-02	93	"NO"
2011-07-03	85	"NO"
2011-07-04	96	"NO"
2011-07-05	85	"NO"
2011-07-06	86	"NO"
2011-07-07	83	"NO"
2011-07-08	79	"NO"
2011-07-09	82	"NO"
2011-07-10	86	"NO"
2011-07-11	86	"NO"
2011-07-12	90	"NO"
2011-07-13	90	"NO"
2011-07-14	88	"NO"
2011-07-15	84	"NO"
2011-07-16	81	"NO"
2011-07-17	83	"NO"
2011-07-18	84	"NO"
2011-07-19	83	"NO"
2011-07-20	79	"NO"
2011-07-21	80	"NO"
2011-07-22	80	"NO"
2011-07-23	78	"NO"
2011-07-24	81	"NO"
2011-07-25	79	"NO"
2011-07-26	83	"NO"
2011-07-27	83	"NO"
2011-07-28	83	"NO"
2011-07-29	82	"NO"
2011-07-30	92	"NO"
2011-07-31	73	"NO"
2011-08-01	84	"NO"
2011-08-02	84	"NO"
2011-08-03	86	"NO"
2011-08-04	81	"NO"
2011-08-05	79	"NO"
2011-08-06	82	"NO"
2011-08-07	76	"NO"
2011-08-08	81	"NO"
2011-08-09	85	"NO"
2011-08-10	82	"NO"
2011-08-11	83	"NO"
2011-08-12	90	"NO"
2011-08-13	82	"NO"
2011-08-14	86	"NO"
2011-08-15	88	"NO"
2011-08-16	82	"NO"
2011-08-17	85	"NO"
2011-08-18	85	"NO"
2011-08-19	85	"NO"
2011-08-20	81	"NO"
2011-08-21	84	"NO"
2011-08-22	83	"NO"
2011-08-23	88	"NO"
2011-08-24	80	"NO"
2011-08-25	84	"NO"
2011-08-26	83	"NO"
2011-08-27	80	"NO"
2011-08-28	90	"NO"
2011-08-29	79	"NO"
2011-08-30	83	"NO"
2011-08-31	79	"NO"
2011-09-01	80	"NO"
2011-09-02	86	"NO"
2011-09-03	97	"NO"
2011-09-04	81.3601435633778	"SI"
2011-09-05	82	"NO"
2011-09-06	80	"NO"
2011-09-07	77	"NO"
2011-09-08	86	"NO"
2011-09-09	88	"NO"
2011-09-10	84	"NO"
2011-09-11	81	"NO"
2011-09-12	87	"NO"
2011-09-13	86	"NO"
2011-09-14	79	"NO"
2011-09-15	83	"NO"
2011-09-16	90	"NO"
2011-09-17	79	"NO"
2011-09-18	87	"NO"
2011-09-19	86	"NO"
2011-09-20	88	"NO"
2011-09-21	77	"NO"
2011-09-22	83	"NO"
2011-09-23	81	"NO"
2011-09-24	87	"NO"
2011-09-25	89	"NO"
2011-09-26	84	"NO"
2011-09-27	82	"NO"
2011-09-28	83	"NO"
2011-09-29	83	"NO"
2011-09-30	81	"NO"
2011-10-01	93	"NO"
2011-10-02	85	"NO"
2011-10-03	83	"NO"
2011-10-04	90	"NO"
2011-10-05	82	"NO"
2011-10-06	86	"NO"
2011-10-07	82	"NO"
2011-10-08	85	"NO"
2011-10-09	84	"NO"
2011-10-10	86	"NO"
2011-10-11	83	"NO"
2011-10-12	86	"NO"
2011-10-13	84	"NO"
2011-10-14	85	"NO"
2011-10-15	78	"NO"
2011-10-16	80	"NO"
2011-10-17	78	"NO"
2011-10-18	78	"NO"
2011-10-19	84.4135476200337	"SI"
2011-10-20	89	"NO"
2011-10-21	78	"NO"
2011-10-22	79.0344080593264	"SI"
2011-10-23	71	"NO"
2011-10-24	80	"NO"
2011-10-25	87	"NO"
2011-10-26	84	"NO"
2011-10-27	82	"NO"
2011-10-28	94	"NO"
2011-10-29	89	"NO"
2011-10-30	91	"NO"
2011-10-31	93	"NO"
2011-11-01	83	"NO"
2011-11-02	83	"NO"
2011-11-03	84	"NO"
2011-11-04	85	"NO"
2011-11-05	85	"NO"
2011-11-06	80	"NO"
2011-11-07	87	"NO"
2011-11-08	85	"NO"
2011-11-09	79	"NO"
2011-11-10	83	"NO"
2011-11-11	89	"NO"
2011-11-12	84	"NO"
2011-11-13	83	"NO"
2011-11-14	88	"NO"
2011-11-15	86	"NO"
2011-11-16	82	"NO"
2011-11-17	83	"NO"
2011-11-18	84	"NO"
2011-11-19	86	"NO"
2011-11-20	81	"NO"
2011-11-21	83	"NO"
2011-11-22	84	"NO"
2011-11-23	84	"NO"
2011-11-24	83	"NO"
2011-11-25	84	"NO"
2011-11-26	88	"NO"
2011-11-27	89	"NO"
2011-11-28	87	"NO"
2011-11-29	88	"NO"
2011-11-30	93	"NO"
2011-12-01	92	"NO"
2011-12-02	91	"NO"
2011-12-03	82	"NO"
2011-12-04	81	"NO"
2011-12-05	88	"NO"
2011-12-06	83.9204872550332	"SI"
2011-12-07	85	"NO"
2011-12-08	81	"NO"
2011-12-09	82	"NO"
2011-12-10	86	"NO"
2011-12-11	91	"NO"
2011-12-12	87	"NO"
2011-12-13	87	"NO"
2011-12-14	85	"NO"
2011-12-15	87	"NO"
2011-12-16	87	"NO"
2011-12-17	86	"NO"
2011-12-18	84	"NO"
2011-12-19	86	"NO"
2011-12-20	76	"NO"
2011-12-21	77	"NO"
2011-12-22	80	"NO"
2011-12-23	77	"NO"
2011-12-24	85	"NO"
2011-12-25	81.6053586718316	"SI"
2011-12-26	77	"NO"
2011-12-27	80	"NO"
2011-12-28	80	"NO"
2011-12-29	81	"NO"
2011-12-30	85.6166058357852	"SI"
2011-12-31	84	"NO"
2012-01-01	77	"NO"
2012-01-02	80	"NO"
2012-01-03	80	"NO"
2012-01-04	85	"NO"
2012-01-05	78	"NO"
2012-01-06	80	"NO"
2012-01-07	79	"NO"
2012-01-08	77	"NO"
2012-01-09	78	"NO"
2012-01-10	81	"NO"
2012-01-11	80	"NO"
2012-01-12	77	"NO"
2012-01-13	82	"NO"
2012-01-14	80	"NO"
2012-01-15	83	"NO"
2012-01-16	78	"NO"
2012-01-17	75	"NO"
2012-01-18	76	"NO"
2012-01-19	76	"NO"
2012-01-20	78	"NO"
2012-01-21	80.3430238177688	"SI"
2012-01-22	70	"NO"
2012-01-23	77	"NO"
2012-01-24	77	"NO"
2012-01-25	71	"NO"
2012-01-26	76	"NO"
2012-01-27	76	"NO"
2012-01-28	76	"NO"
2012-01-29	78	"NO"
2012-01-30	76	"NO"
2012-01-31	74	"NO"
2012-02-01	78.089086676016	"SI"
2012-02-02	77.7465181226964	"SI"
2012-02-03	76	"NO"
2012-02-04	74	"NO"
2012-02-05	77	"NO"
2012-02-06	84	"NO"
2012-02-07	77	"NO"
2012-02-08	74	"NO"
2012-02-09	80	"NO"
2012-02-10	80	"NO"
2012-02-11	78	"NO"
2012-02-12	77	"NO"
2012-02-13	79	"NO"
2012-02-14	74	"NO"
2012-02-15	74	"NO"
2012-02-16	73	"NO"
2012-02-17	72	"NO"
2012-02-18	74.8692517189276	"SI"
2012-02-19	73	"NO"
2012-02-20	70	"NO"
2012-02-21	72	"NO"
2012-02-22	70	"NO"
2012-02-23	71	"NO"
2012-02-24	73	"NO"
2012-02-25	78	"NO"
2012-02-26	76	"NO"
2012-02-27	75.1459801427618	"SI"
2012-02-28	75.5042515042326	"SI"
2012-02-29	74	"NO"
2012-03-01	74	"NO"
2012-03-02	71	"NO"
2012-03-03	75	"NO"
2012-03-04	75	"NO"
2012-03-05	77	"NO"
2012-03-06	73	"NO"
2012-03-07	73.8011997959233	"SI"
2012-03-08	71.5361535159592	"SI"
2012-03-09	70	"NO"
2012-03-10	73.9883408053389	"SI"
2012-03-11	73	"NO"
2012-03-12	71	"NO"
2012-03-13	82	"NO"
2012-03-14	72	"NO"
2012-03-15	72	"NO"
2012-03-16	77	"NO"
2012-03-17	82	"NO"
2012-03-18	82	"NO"
2012-03-19	76	"NO"
2012-03-20	82	"NO"
2012-03-21	81	"NO"
2012-03-22	75	"NO"
2012-03-23	74	"NO"
2012-03-24	75	"NO"
2012-03-25	69	"NO"
2012-03-26	75	"NO"
2012-03-27	75	"NO"
2012-03-28	70	"NO"
2012-03-29	72	"NO"
2012-03-30	75	"NO"
2012-03-31	74	"NO"
2012-04-01	76.9162990120553	"SI"
2012-04-02	92	"NO"
2012-04-03	93	"NO"
2012-04-04	80	"NO"
2012-04-05	82	"NO"
2012-04-06	73	"NO"
2012-04-07	82	"NO"
2012-04-08	84	"NO"
2012-04-09	83	"NO"
2012-04-10	80	"NO"
2012-04-11	74	"NO"
2012-04-12	78	"NO"
2012-04-13	81	"NO"
2012-04-14	82	"NO"
2012-04-15	80	"NO"
2012-04-16	84	"NO"
2012-04-17	83	"NO"
2012-04-18	83	"NO"
2012-04-19	85	"NO"
2012-04-20	83	"NO"
2012-04-21	83.9405033110699	"SI"
2012-04-22	85	"NO"
2012-04-23	82	"NO"
2012-04-24	88	"NO"
2012-04-25	84	"NO"
2012-04-26	81	"NO"
2012-04-27	92	"NO"
2012-04-28	84	"NO"
2012-04-29	89	"NO"
2012-04-30	81	"NO"
2012-05-01	89	"NO"
2012-05-02	94	"NO"
2012-05-03	82	"NO"
2012-05-04	88.7311429010732	"SI"
2012-05-05	84	"NO"
2012-05-06	83	"NO"
2012-05-07	93	"NO"
2012-05-08	77	"NO"
2012-05-09	81	"NO"
2012-05-10	86	"NO"
2012-05-11	86	"NO"
2012-05-12	92	"NO"
2012-05-13	87	"NO"
2012-05-14	87	"NO"
2012-05-15	81	"NO"
2012-05-16	83	"NO"
2012-05-17	92	"NO"
2012-05-18	85	"NO"
2012-05-19	84	"NO"
2012-05-20	87	"NO"
2012-05-21	85	"NO"
2012-05-22	88	"NO"
2012-05-23	78	"NO"
2012-05-24	82	"NO"
2012-05-25	94	"NO"
2012-05-26	85	"NO"
2012-05-27	82	"NO"
2012-05-28	85	"NO"
2012-05-29	81	"NO"
2012-05-30	92	"NO"
2012-05-31	78	"NO"
2012-06-01	91	"NO"
2012-06-02	78	"NO"
2012-06-03	80	"NO"
2012-06-04	87	"NO"
2012-06-05	82	"NO"
2012-06-06	82	"NO"
2012-06-07	80	"NO"
2012-06-08	89	"NO"
2012-06-09	84	"NO"
2012-06-10	78	"NO"
2012-06-11	88	"NO"
2012-06-12	87	"NO"
2012-06-13	83	"NO"
2012-06-14	89	"NO"
2012-06-15	81	"NO"
2012-06-16	86	"NO"
2012-06-17	85	"NO"
2012-06-18	82	"NO"
2012-06-19	80	"NO"
2012-06-20	79.9379753787964	"SI"
2012-06-21	85	"NO"
2012-06-22	79	"NO"
2012-06-23	84	"NO"
2012-06-24	87	"NO"
2012-06-25	80	"NO"
2012-06-26	85	"NO"
2012-06-27	75	"NO"
2012-06-28	82	"NO"
2012-06-29	79	"NO"
2012-06-30	84	"NO"
