"Dates"	"Value"	"Modif"
2011-01-01	78	"NO"
2011-01-02	81	"NO"
2011-01-03	86	"NO"
2011-01-04	87	"NO"
2011-01-05	79	"NO"
2011-01-06	79	"NO"
2011-01-07	86	"NO"
2011-01-08	85	"NO"
2011-01-09	78	"NO"
2011-01-10	82	"NO"
2011-01-11	77	"NO"
2011-01-12	79	"NO"
2011-01-13	77	"NO"
2011-01-14	79	"NO"
2011-01-15	79	"NO"
2011-01-16	76	"NO"
2011-01-17	79	"NO"
2011-01-18	78	"NO"
2011-01-19	77	"NO"
2011-01-20	77	"NO"
2011-01-21	79	"NO"
2011-01-22	79	"NO"
2011-01-23	80	"NO"
2011-01-24	80	"NO"
2011-01-25	78	"NO"
2011-01-26	77	"NO"
2011-01-27	78	"NO"
2011-01-28	79	"NO"
2011-01-29	76	"NO"
2011-01-30	78	"NO"
2011-01-31	78	"NO"
2011-02-01	78	"NO"
2011-02-02	73	"NO"
2011-02-03	75	"NO"
2011-02-04	78	"NO"
2011-02-05	76	"NO"
2011-02-06	74	"NO"
2011-02-07	77	"NO"
2011-02-08	76	"NO"
2011-02-09	75	"NO"
2011-02-10	76	"NO"
2011-02-11	79	"NO"
2011-02-12	76	"NO"
2011-02-13	76	"NO"
2011-02-14	77	"NO"
2011-02-15	80	"NO"
2011-02-16	84	"NO"
2011-02-17	77	"NO"
2011-02-18	77	"NO"
2011-02-19	75	"NO"
2011-02-20	75	"NO"
2011-02-21	75	"NO"
2011-02-22	77	"NO"
2011-02-23	78	"NO"
2011-02-24	79	"NO"
2011-02-25	72	"NO"
2011-02-26	76	"NO"
2011-02-27	76	"NO"
2011-02-28	74	"NO"
2011-03-01	81	"NO"
2011-03-02	84	"NO"
2011-03-03	87	"NO"
2011-03-04	77	"NO"
2011-03-05	77	"NO"
2011-03-06	76	"NO"
2011-03-07	78	"NO"
2011-03-08	78	"NO"
2011-03-09	76	"NO"
2011-03-10	78	"NO"
2011-03-11	84	"NO"
2011-03-12	79	"NO"
2011-03-13	74	"NO"
2011-03-14	77	"NO"
2011-03-15	80	"NO"
2011-03-16	76	"NO"
2011-03-17	77	"NO"
2011-03-18	79	"NO"
2011-03-19	78	"NO"
2011-03-20	81	"NO"
2011-03-21	88	"NO"
2011-03-22	85	"NO"
2011-03-23	77	"NO"
2011-03-24	88	"NO"
2011-03-25	79	"NO"
2011-03-26	81	"NO"
2011-03-27	81	"NO"
2011-03-28	77	"NO"
2011-03-29	87	"NO"
2011-03-30	77	"NO"
2011-03-31	78	"NO"
2011-04-01	77	"NO"
2011-04-02	75	"NO"
2011-04-03	75	"NO"
2011-04-04	75	"NO"
2011-04-05	81	"NO"
2011-04-06	78	"NO"
2011-04-07	79	"NO"
2011-04-08	86	"NO"
2011-04-09	81	"NO"
2011-04-10	85	"NO"
2011-04-11	81	"NO"
2011-04-12	86	"NO"
2011-04-13	82	"NO"
2011-04-14	78	"NO"
2011-04-15	80	"NO"
2011-04-16	89	"NO"
2011-04-17	80	"NO"
2011-04-18	81	"NO"
2011-04-19	82	"NO"
2011-04-20	81	"NO"
2011-04-21	76	"NO"
2011-04-22	78	"NO"
2011-04-23	80	"NO"
2011-04-24	76	"NO"
2011-04-25	83	"NO"
2011-04-26	76	"NO"
2011-04-27	80	"NO"
2011-04-28	85	"NO"
2011-04-29	79	"NO"
2011-04-30	82	"NO"
2011-05-01	78	"NO"
2011-05-02	81	"NO"
2011-05-03	80	"NO"
2011-05-04	84	"NO"
2011-05-05	73	"NO"
2011-05-06	73	"NO"
2011-05-07	77	"NO"
2011-05-08	82	"NO"
2011-05-09	82	"NO"
2011-05-10	79	"NO"
2011-05-11	79	"NO"
2011-05-12	87	"NO"
2011-05-13	88	"NO"
2011-05-14	83	"NO"
2011-05-15	78.5244070693735	"SI"
2011-05-16	85	"NO"
2011-05-17	83	"NO"
2011-05-18	78	"NO"
2011-05-19	79	"NO"
2011-05-20	79	"NO"
2011-05-21	80	"NO"
2011-05-22	84	"NO"
2011-05-23	78	"NO"
2011-05-24	79	"NO"
2011-05-25	82	"NO"
2011-05-26	77	"NO"
2011-05-27	78	"NO"
2011-05-28	85	"NO"
2011-05-29	79	"NO"
2011-05-30	77	"NO"
2011-05-31	84	"NO"
2011-06-01	89	"NO"
2011-06-02	91	"NO"
2011-06-03	84	"NO"
2011-06-04	83	"NO"
2011-06-05	83	"NO"
2011-06-06	78	"NO"
2011-06-07	86	"NO"
2011-06-08	80	"NO"
2011-06-09	75	"NO"
2011-06-10	74	"NO"
2011-06-11	80	"NO"
2011-06-12	75	"NO"
2011-06-13	71	"NO"
2011-06-14	82	"NO"
2011-06-15	78	"NO"
2011-06-16	79	"NO"
2011-06-17	84.5629127501318	"SI"
2011-06-18	78	"NO"
2011-06-19	84	"NO"
2011-06-20	82	"NO"
2011-06-21	72	"NO"
2011-06-22	86	"NO"
2011-06-23	79	"NO"
2011-06-24	80	"NO"
2011-06-25	83	"NO"
2011-06-26	82	"NO"
2011-06-27	84	"NO"
2011-06-28	77	"NO"
2011-06-29	79	"NO"
2011-06-30	81	"NO"
2011-07-01	90	"NO"
2011-07-02	82	"NO"
2011-07-03	81	"NO"
2011-07-04	82	"NO"
2011-07-05	80	"NO"
2011-07-06	85	"NO"
2011-07-07	81.6455825407294	"SI"
2011-07-08	75	"NO"
2011-07-09	78	"NO"
2011-07-10	85	"NO"
2011-07-11	82	"NO"
2011-07-12	85	"NO"
2011-07-13	88	"NO"
2011-07-14	84	"NO"
2011-07-15	80	"NO"
2011-07-16	81	"NO"
