"Dates"	"Value"	"Modif"
2011-01-01	30	"NO"
2011-01-02	29.6	"NO"
2011-01-03	29.4	"NO"
2011-01-04	30	"NO"
2011-01-05	30.2	"NO"
2011-01-06	30.4	"NO"
2011-01-07	29.6	"NO"
2011-01-08	28.8	"NO"
2011-01-09	30.6	"NO"
2011-01-10	30.4	"NO"
2011-01-11	30	"NO"
2011-01-12	31.4	"NO"
2011-01-13	30.8	"NO"
2011-01-14	30.6	"NO"
2011-01-15	30.4	"NO"
2011-01-16	30.8	"NO"
2011-01-17	30.6	"NO"
2011-01-18	30.8	"NO"
2011-01-19	30.2	"NO"
2011-01-20	31	"NO"
2011-01-21	30.8	"NO"
2011-01-22	30.6	"NO"
2011-01-23	30	"NO"
2011-01-24	30.8	"NO"
2011-01-25	31.4	"NO"
2011-01-26	31	"NO"
2011-01-27	30.2	"NO"
2011-01-28	30.4	"NO"
2011-01-29	31	"NO"
2011-01-30	30.8	"NO"
2011-01-31	30.8	"NO"
2011-02-01	31.4	"NO"
2011-02-02	30.8	"NO"
2011-02-03	33	"NO"
2011-02-04	31.8	"NO"
2011-02-05	30	"NO"
2011-02-06	30.8	"NO"
2011-02-07	30.8	"NO"
2011-02-08	30.8	"NO"
2011-02-09	31	"NO"
2011-02-10	30.8	"NO"
2011-02-11	30.2	"NO"
2011-02-12	31	"NO"
2011-02-13	30.2	"NO"
2011-02-14	30.6	"NO"
2011-02-15	30.4	"NO"
2011-02-16	30	"NO"
2011-02-17	31	"NO"
2011-02-18	30.6	"NO"
2011-02-19	31	"NO"
2011-02-20	30.2126878220637	"SI"
2011-02-21	30.6847963536759	"SI"
2011-02-22	30.7080989316908	"SI"
2011-02-23	31.2013535679437	"SI"
2011-02-24	31.2664128190514	"SI"
2011-02-25	29.6639084282547	"SI"
2011-02-26	30.5654964837791	"SI"
2011-02-27	30.458785694173	"SI"
2011-02-28	31.1	"SI"
2011-03-01	29	"NO"
2011-03-02	27.6	"NO"
2011-03-03	29.2	"NO"
2011-03-04	29.6	"NO"
2011-03-05	30	"NO"
2011-03-06	30.2	"NO"
2011-03-07	30.4	"NO"
2011-03-08	30.6	"NO"
