"Dates"	"Value"	"Modif"
2011-01-01	31.2	"NO"
2011-01-02	31.4	"NO"
2011-01-03	31.2	"NO"
2011-01-04	30	"NO"
2011-01-05	32.6	"NO"
2011-01-06	31.6	"NO"
2011-01-07	29.8	"NO"
2011-01-08	29	"NO"
2011-01-09	32	"NO"
2011-01-10	31.2	"NO"
2011-01-11	31.8	"NO"
2011-01-12	32.2	"NO"
2011-01-13	32.4	"NO"
2011-01-14	32.6	"NO"
2011-01-15	32.8	"NO"
2011-01-16	32.6	"NO"
2011-01-17	31.6	"NO"
2011-01-18	32.2	"NO"
2011-01-19	31.4	"NO"
2011-01-20	31.4	"NO"
2011-01-21	32.8	"NO"
2011-01-22	32.4	"NO"
2011-01-23	32	"NO"
2011-01-24	32.2	"NO"
2011-01-25	32	"NO"
2011-01-26	32.6	"NO"
2011-01-27	32.8	"NO"
2011-01-28	32.4	"NO"
2011-01-29	32.6	"NO"
2011-01-30	32.4	"NO"
2011-01-31	33.2	"NO"
2011-02-01	33	"NO"
2011-02-02	33.8	"NO"
2011-02-03	33	"NO"
2011-02-04	33.4	"NO"
2011-02-05	32.8	"NO"
2011-02-06	33.4	"NO"
2011-02-07	33.2	"NO"
2011-02-08	33.6	"NO"
2011-02-09	34	"NO"
2011-02-10	34.4	"NO"
2011-02-11	33.6	"NO"
2011-02-12	33	"NO"
2011-02-13	33.2	"NO"
2011-02-14	32.8	"NO"
2011-02-15	32.8	"NO"
2011-02-16	32	"NO"
2011-02-17	33	"NO"
2011-02-18	33	"NO"
2011-02-19	32.8	"NO"
2011-02-20	32.6	"NO"
2011-02-21	33.4	"NO"
2011-02-22	33.6	"NO"
2011-02-23	33	"NO"
2011-02-24	33.2	"NO"
2011-02-25	34.4	"NO"
2011-02-26	34.6	"NO"
2011-02-27	34.6	"NO"
2011-02-28	33.8	"NO"
2011-03-01	30.2	"NO"
2011-03-02	28.6	"NO"
2011-03-03	30	"NO"
2011-03-04	32.2	"NO"
2011-03-05	32.8	"NO"
2011-03-06	33.2	"NO"
2011-03-07	32	"NO"
2011-03-08	33.2	"NO"
2011-03-09	33.4	"NO"
2011-03-10	28.6	"NO"
2011-03-11	30.8	"NO"
2011-03-12	31.8	"NO"
2011-03-13	31.8	"NO"
2011-03-14	32.6	"NO"
2011-03-15	31.4	"NO"
2011-03-16	32.2	"NO"
2011-03-17	32.4	"NO"
2011-03-18	31.2	"NO"
2011-03-19	32	"NO"
2011-03-20	31.8	"NO"
2011-03-21	27	"NO"
2011-03-22	31	"NO"
2011-03-23	30.8	"NO"
2011-03-24	32	"NO"
2011-03-25	32.2	"NO"
2011-03-26	33.2	"NO"
2011-03-27	31	"NO"
2011-03-28	32.8	"NO"
2011-03-29	32	"NO"
2011-03-30	34	"NO"
2011-03-31	31.8	"NO"
2011-04-01	33.4	"NO"
2011-04-02	33.2	"NO"
2011-04-03	32.6	"NO"
2011-04-04	33	"NO"
2011-04-05	34.2	"NO"
2011-04-06	32.6	"NO"
2011-04-07	31	"NO"
2011-04-08	31.8	"NO"
2011-04-09	31.6	"NO"
2011-04-10	30.8	"NO"
2011-04-11	30.2	"NO"
2011-04-12	29.8	"NO"
2011-04-13	31	"NO"
2011-04-14	32.2	"NO"
2011-04-15	31.2	"NO"
2011-04-16	28.4	"NO"
2011-04-17	31.6	"NO"
2011-04-18	31.8	"NO"
2011-04-19	31.4	"NO"
2011-04-20	31.6	"NO"
2011-04-21	30.6	"NO"
2011-04-22	32	"NO"
2011-04-23	31.8	"NO"
2011-04-24	31.6	"NO"
2011-04-25	33	"NO"
2011-04-26	32.2	"NO"
2011-04-27	34	"NO"
2011-04-28	28.8	"NO"
2011-04-29	32.4	"NO"
2011-04-30	32.8	"NO"
2011-05-01	32.2	"NO"
2011-05-02	31	"NO"
2011-05-03	32	"NO"
2011-05-04	33	"NO"
2011-05-05	31.2	"NO"
2011-05-06	33.2	"NO"
2011-05-07	32	"NO"
2011-05-08	32.4	"NO"
2011-05-09	32.2	"NO"
2011-05-10	33.4	"NO"
2011-05-11	34	"NO"
2011-05-12	30.2	"NO"
2011-05-13	26.6	"NO"
2011-05-14	30.2	"NO"
2011-05-15	31	"NO"
2011-05-16	29.4	"NO"
2011-05-17	31	"NO"
2011-05-18	32.6	"NO"
2011-05-19	32.4	"NO"
2011-05-20	32.6	"NO"
2011-05-21	32.2	"NO"
2011-05-22	31	"NO"
2011-05-23	32.4	"NO"
2011-05-24	32.8	"NO"
2011-05-25	30.6	"NO"
2011-05-26	33.2	"NO"
2011-05-27	32.2	"NO"
2011-05-28	30.4	"NO"
2011-05-29	31.4	"NO"
2011-05-30	33.2	"NO"
2011-05-31	30.8	"NO"
2011-06-01	30	"NO"
2011-06-02	30.6	"NO"
2011-06-03	30.2	"NO"
2011-06-04	32.2	"NO"
2011-06-05	31.2	"NO"
2011-06-06	32.8	"NO"
2011-06-07	30	"NO"
2011-06-08	30.8	"NO"
2011-06-09	33.4	"NO"
2011-06-10	33.8	"NO"
2011-06-11	30.6	"NO"
2011-06-12	34	"NO"
2011-06-13	34.2	"NO"
2011-06-14	32.8	"NO"
2011-06-15	32.6	"NO"
2011-06-16	32	"NO"
2011-06-17	32.6	"NO"
2011-06-18	32.4	"NO"
2011-06-19	29.6	"NO"
2011-06-20	30.2	"NO"
2011-06-21	32.4	"NO"
2011-06-22	31.2	"NO"
2011-06-23	30.8	"NO"
2011-06-24	29	"NO"
2011-06-25	30	"NO"
2011-06-26	30.8	"NO"
2011-06-27	29.2	"NO"
2011-06-28	33.4	"NO"
2011-06-29	33.2	"NO"
2011-06-30	31.4	"NO"
2011-07-01	29	"NO"
2011-07-02	29.6	"NO"
2011-07-03	32	"NO"
2011-07-04	29	"NO"
2011-07-05	32.2	"NO"
2011-07-06	30.4	"NO"
2011-07-07	30.4	"NO"
2011-07-08	33.4	"NO"
2011-07-09	33.6	"NO"
2011-07-10	31.2	"NO"
2011-07-11	32.6	"NO"
2011-07-12	29.4	"NO"
2011-07-13	28.2	"NO"
2011-07-14	28.2	"NO"
2011-07-15	30.2	"NO"
2011-07-16	31.2	"NO"
2011-07-17	31.2	"NO"
2011-07-18	30.8	"NO"
2011-07-19	32.4	"NO"
2011-07-20	33.8	"NO"
2011-07-21	33	"NO"
2011-07-22	34	"NO"
2011-07-23	33.8	"NO"
2011-07-24	31.6	"NO"
2011-07-25	33.8	"NO"
