"Dates"	"Value"	"Modif"
2011-01-01	22.8328333375197	"SI"
2011-01-02	23.9425688661536	"SI"
2011-01-03	23.9204486920629	"SI"
2011-01-04	23.6318833358178	"SI"
2011-01-05	23.6385357557353	"SI"
2011-01-06	22.8099910457527	"SI"
2011-01-07	23.5692289415587	"SI"
2011-01-08	23.441964646271	"SI"
2011-01-09	23.3435619978135	"SI"
2011-01-10	24.480195098793	"SI"
2011-01-11	24.271647889271	"SI"
2011-01-12	23.4	"NO"
2011-01-13	23.8	"NO"
2011-01-14	24	"NO"
2011-01-15	24.4	"NO"
2011-01-16	25	"NO"
2011-01-17	24.2	"NO"
2011-01-18	24	"NO"
2011-01-19	24.4	"NO"
2011-01-20	24	"NO"
2011-01-21	23.6	"NO"
2011-01-22	22.8	"NO"
2011-01-23	23.2	"NO"
2011-01-24	23.4	"NO"
2011-01-25	23.8	"NO"
2011-01-26	23.6	"NO"
2011-01-27	23.6	"NO"
2011-01-28	23.6	"NO"
2011-01-29	23.8	"NO"
2011-01-30	23.8	"NO"
2011-01-31	24	"NO"
2011-02-01	23.8	"NO"
2011-02-02	23.8	"NO"
2011-02-03	23.4	"NO"
2011-02-04	22.6	"NO"
2011-02-05	22.8	"NO"
2011-02-06	23.2	"NO"
2011-02-07	23.4	"NO"
2011-02-08	23.8	"NO"
2011-02-09	24	"NO"
2011-02-10	23.4	"NO"
2011-02-11	24.2	"NO"
2011-02-12	23.8	"NO"
2011-02-13	24	"NO"
2011-02-14	24.2	"NO"
2011-02-15	24.6	"NO"
2011-02-16	25	"NO"
2011-02-17	25	"NO"
2011-02-18	24.4	"NO"
2011-02-19	24.2	"NO"
2011-02-20	24	"NO"
2011-02-21	22.4	"NO"
2011-02-22	22.4	"NO"
2011-02-23	23.2	"NO"
2011-02-24	24.4	"NO"
2011-02-25	24.2	"NO"
2011-02-26	24.8	"NO"
2011-02-27	24.2	"NO"
2011-02-28	24.8	"NO"
2011-03-01	23.6	"NO"
2011-03-02	23	"NO"
2011-03-03	23.2	"NO"
2011-03-04	22.8	"NO"
2011-03-05	23.6	"NO"
2011-03-06	24	"NO"
2011-03-07	23.8	"NO"
2011-03-08	23.6	"NO"
2011-03-09	24.2	"NO"
2011-03-10	25	"NO"
2011-03-11	23.4	"NO"
2011-03-12	23	"NO"
2011-03-13	22.2	"NO"
2011-03-14	22.4	"NO"
2011-03-15	22.6	"NO"
2011-03-16	23.2	"NO"
2011-03-17	23.6	"NO"
2011-03-18	24.4	"NO"
2011-03-19	25.2	"NO"
2011-03-20	25.2	"NO"
2011-03-21	24.4	"NO"
2011-03-22	24.6	"NO"
2011-03-23	23.6	"NO"
2011-03-24	23.8	"NO"
2011-03-25	25	"NO"
2011-03-26	25.2	"NO"
2011-03-27	25	"NO"
2011-03-28	25	"NO"
2011-03-29	25.2	"NO"
2011-03-30	25.8	"NO"
2011-03-31	23.8	"NO"
2011-04-01	25.4	"NO"
2011-04-02	25.6	"NO"
2011-04-03	25.8	"NO"
2011-04-04	25.2	"NO"
2011-04-05	25.4	"NO"
2011-04-06	24.8	"NO"
2011-04-07	24.6	"NO"
2011-04-08	25	"NO"
2011-04-09	24.2	"NO"
2011-04-10	25	"NO"
2011-04-11	24.8	"NO"
2011-04-12	23.8	"NO"
2011-04-13	25	"NO"
2011-04-14	25.4	"NO"
2011-04-15	25.2	"NO"
2011-04-16	21.8	"NO"
2011-04-17	23.2	"NO"
2011-04-18	25	"NO"
2011-04-19	23.8	"NO"
2011-04-20	24	"NO"
2011-04-21	23	"NO"
2011-04-22	22.6	"NO"
2011-04-23	22.8	"NO"
2011-04-24	23	"NO"
2011-04-25	24	"NO"
2011-04-26	24	"NO"
2011-04-27	23.4	"NO"
2011-04-28	24.2	"NO"
2011-04-29	23.4	"NO"
2011-04-30	24.2	"NO"
2011-05-01	24.2	"NO"
2011-05-02	24.8	"NO"
2011-05-03	25.4	"NO"
2011-05-04	23.2	"NO"
2011-05-05	25.4	"NO"
2011-05-06	24.8	"NO"
2011-05-07	25.6	"NO"
2011-05-08	25.8	"NO"
2011-05-09	26.2	"NO"
2011-05-10	25	"NO"
2011-05-11	26	"NO"
2011-05-12	26	"NO"
2011-05-13	24.4	"NO"
2011-05-14	23.8	"NO"
2011-05-15	24	"NO"
2011-05-16	24.3	"NO"
2011-05-17	23.2	"NO"
2011-05-18	24.2	"NO"
2011-05-19	22.6	"NO"
2011-05-20	23.8	"NO"
2011-05-21	22.8	"NO"
2011-05-22	24.8	"NO"
2011-05-23	24	"NO"
2011-05-24	24.4	"NO"
2011-05-25	23	"NO"
2011-05-26	23.6	"NO"
2011-05-27	25.4	"NO"
2011-05-28	24	"NO"
2011-05-29	24.2	"NO"
2011-05-30	25.8	"NO"
2011-05-31	23.4	"NO"
2011-06-01	24	"NO"
2011-06-02	25	"NO"
2011-06-03	24.6	"NO"
2011-06-04	24.4	"NO"
2011-06-05	24	"NO"
2011-06-06	25	"NO"
2011-06-07	25	"NO"
2011-06-08	22.6	"NO"
2011-06-09	23	"NO"
2011-06-10	25.8	"NO"
2011-06-11	26.6	"NO"
2011-06-12	23	"NO"
2011-06-13	23.0197796995568	"SI"
2011-06-14	22.6	"NO"
2011-06-15	23.6	"NO"
2011-06-16	25.4	"NO"
2011-06-17	24.8	"NO"
2011-06-18	25.2	"NO"
2011-06-19	23	"NO"
2011-06-20	23.8	"NO"
2011-06-21	23.4	"NO"
2011-06-22	25.6	"NO"
2011-06-23	25.2	"NO"
2011-06-24	24.4	"NO"
2011-06-25	24.8	"NO"
2011-06-26	24.2	"NO"
2011-06-27	24.8	"NO"
2011-06-28	24.6	"NO"
2011-06-29	25.6	"NO"
2011-06-30	22.4	"NO"
2011-07-01	23.6	"NO"
2011-07-02	25	"NO"
2011-07-03	24.6	"NO"
2011-07-04	24.2	"NO"
2011-07-05	24.6	"NO"
2011-07-06	24.6	"NO"
2011-07-07	24.8	"NO"
2011-07-08	25.2	"NO"
2011-07-09	26.2	"NO"
2011-07-10	25.6	"NO"
2011-07-11	25.8	"NO"
2011-07-12	24.4	"NO"
2011-07-13	24.4	"NO"
2011-07-14	22.2	"NO"
2011-07-15	22.6	"NO"
2011-07-16	24.4	"NO"
2011-07-17	24.8	"NO"
