"Dates"	"Value"	"Modif"
2011-01-01	32	"NO"
2011-01-02	32.2	"NO"
2011-01-03	31.7	"NO"
2011-01-04	31.4	"NO"
2011-01-05	32.4	"NO"
2011-01-06	31.8	"NO"
2011-01-07	31.8	"NO"
2011-01-08	30.4	"NO"
2011-01-09	32.2	"NO"
2011-01-10	32.6	"NO"
2011-01-11	33	"NO"
2011-01-12	33.2	"NO"
2011-01-13	33.4	"NO"
2011-01-14	32.6	"NO"
2011-01-15	33.1	"NO"
2011-01-16	33.3	"NO"
2011-01-17	33.4	"NO"
2011-01-18	33.2	"NO"
2011-01-19	32.2	"NO"
2011-01-20	32.8	"NO"
2011-01-21	33.2	"NO"
2011-01-22	32.9	"NO"
2011-01-23	32.4	"NO"
2011-01-24	32.6	"NO"
2011-01-25	33.2	"NO"
2011-01-26	33.4	"NO"
2011-01-27	33.3	"NO"
2011-01-28	32.7	"NO"
2011-01-29	33.6	"NO"
2011-01-30	33.7	"NO"
2011-01-31	33.5	"NO"
2011-02-01	34.6	"NO"
2011-02-02	35	"NO"
2011-02-03	34.4	"NO"
2011-02-04	34.6	"NO"
2011-02-05	34	"NO"
2011-02-06	34.2	"NO"
2011-02-07	33.8	"NO"
2011-02-08	33.7	"NO"
2011-02-09	34.4	"NO"
2011-02-10	34.5	"NO"
2011-02-11	34	"NO"
2011-02-12	33.6	"NO"
2011-02-13	33.7	"NO"
2011-02-14	34	"NO"
2011-02-15	33.4	"NO"
2011-02-16	33	"NO"
2011-02-17	33.7	"NO"
2011-02-18	33.4	"NO"
2011-02-19	33.1	"NO"
2011-02-20	34.6	"NO"
2011-02-21	34.7	"NO"
2011-02-22	34	"NO"
2011-02-23	34.6	"NO"
2011-02-24	33.6	"NO"
2011-02-25	35	"NO"
2011-02-26	35	"NO"
2011-02-27	35.6	"NO"
2011-02-28	34.8	"NO"
2011-03-01	30.6	"NO"
2011-03-02	31.6	"NO"
2011-03-03	31	"NO"
2011-03-04	33.4	"NO"
2011-03-05	33	"NO"
2011-03-06	33.5	"NO"
2011-03-07	34.4	"NO"
2011-03-08	34	"NO"
2011-03-09	33.4	"NO"
2011-03-10	30.6	"NO"
2011-03-11	31.8	"NO"
2011-03-12	32.2	"NO"
2011-03-13	32.8	"NO"
2011-03-14	34	"NO"
2011-03-15	33.2	"NO"
2011-03-16	33.8	"NO"
2011-03-17	34.6	"NO"
2011-03-18	33.1	"NO"
2011-03-19	33.6	"NO"
2011-03-20	32.8	"NO"
2011-03-21	28.6	"NO"
2011-03-22	31.8	"NO"
2011-03-23	32.6	"NO"
2011-03-24	32.8	"NO"
2011-03-25	33.6	"NO"
2011-03-26	33.8	"NO"
2011-03-27	32	"NO"
2011-03-28	33.2	"NO"
2011-03-29	32.4	"NO"
2011-03-30	33.6	"NO"
2011-03-31	33.4	"NO"
2011-04-01	34.4	"NO"
2011-04-02	34.5	"NO"
2011-04-03	33.4	"NO"
2011-04-04	34.9	"NO"
2011-04-05	34.8	"NO"
2011-04-06	33.6	"NO"
2011-04-07	32	"NO"
2011-04-08	32.6	"NO"
2011-04-09	33.2	"NO"
2011-04-10	32	"NO"
2011-04-11	31.2	"NO"
2011-04-12	30.4	"NO"
2011-04-13	31	"NO"
2011-04-14	32.2	"NO"
2011-04-15	32.3	"NO"
2011-04-16	28.5	"NO"
2011-04-17	32	"NO"
2011-04-18	32.3	"NO"
2011-04-19	33.2	"NO"
2011-04-20	32.2	"NO"
2011-04-21	31.3	"NO"
2011-04-22	32.5	"NO"
2011-04-23	32.8	"NO"
2011-04-24	32.6	"NO"
